,accelerator,num_processes,iteration,learning_rate,mixed_precision,downcast,train_batch_size,validation_batch_size,epoch_1_accuracy,epoch_1_f1,epoch_1_train_time,epoch_1_validation_time,epoch_2_accuracy,epoch_2_f1,epoch_2_train_time,epoch_2_validation_time,epoch_3_accuracy,epoch_3_f1,epoch_3_train_time,epoch_3_validation_time,total_time
0,cuda,2,0,2e-05,False,False,16,32,0.7524509803921569,0.8434108527131784,0.28903739833041747,0.008727361856862055,0.8455882352941176,0.8911917098445595,0.2776228762869521,0.008584685857255994,0.8357843137254902,0.882661996497373,0.2784777509825527,0.008824527856631903,110.29744904600011
1,cuda,2,1,2e-05,False,False,16,32,0.7303921568627451,0.8007246376811595,0.2812764674521294,0.009140537571511231,0.803921568627451,0.8615916955017301,0.27826997066951425,0.008898039714040351,0.8259803921568627,0.880672268907563,0.27826053209568985,0.009282682142708967,109.33635268000035
2,cuda,2,2,2e-05,False,False,16,32,0.7426470588235294,0.8401826484018263,0.2797441136522336,0.008770332571397635,0.8382352941176471,0.8877551020408163,0.27925463388696103,0.00904184500021594,0.8382352941176471,0.8865979381443299,0.2799400835913453,0.008930613571335146,109.53991901699919
3,cuda,2,0,4e-05,True,False,32,64,0.7058823529411765,0.8181818181818181,0.2181641229829532,0.016073872249762644,0.8333333333333334,0.8874172185430463,0.21235984746541864,0.012484764502005419,0.8553921568627451,0.897391304347826,0.21612154908595177,0.011814284500360372,42.71072656799515
4,cuda,2,1,4e-05,True,False,32,64,0.6985294117647058,0.8166915052160953,0.21787604560311843,0.01178701299977547,0.7818627450980392,0.8424778761061947,0.22107514015605656,0.01496617500015418,0.8406862745098039,0.8873483535528597,0.2196343002760841,0.011847598501844914,43.434383480998804
5,cuda,2,2,4e-05,True,False,32,64,0.7058823529411765,0.8219584569732937,0.21744385648281453,0.012289943748328369,0.8382352941176471,0.8892617449664431,0.21752515227615668,0.01239756825088989,0.8529411764705882,0.896551724137931,0.2207663320514257,0.016148843749761,43.235691941998084
6,cuda,2,0,4e-05,False,False,32,64,0.7058823529411765,0.8181818181818181,0.5556077141036753,0.009210977001202991,0.8137254901960784,0.8785942492012779,0.5447498509135491,0.009186283252347494,0.8504901960784313,0.8942807625649914,0.5379789742929179,0.009092168998904526,105.25318076999974
7,cuda,2,1,4e-05,False,False,32,64,0.6985294117647058,0.8166915052160953,0.5488767914138062,0.009219858249707613,0.7794117647058824,0.8398576512455516,0.5395057092067999,0.009579828749338049,0.8357843137254902,0.8838821490467937,0.5463869713454061,0.00937815049837809,104.9519380290003
8,cuda,2,2,4e-05,False,False,32,64,0.7058823529411765,0.8219584569732937,0.5416203318624145,0.009445459250855492,0.8382352941176471,0.8892617449664431,0.5457550181726502,0.009252279249267303,0.8529411764705882,0.8969072164948454,0.5440981255522839,0.009235652250936255,104.67375699099648
9,cuda,2,0,2e-05,True,False,32,64,0.6936274509803921,0.810318664643399,0.22125588049982917,0.011242987000059657,0.7818627450980392,0.8538587848932676,0.21879573636205946,0.011452404000010574,0.8088235294117647,0.8673469387755103,0.22076807468953308,0.012358227499589702,43.45370718800041
10,cuda,2,1,2e-05,True,False,32,64,0.6838235294117647,0.8122270742358079,0.21907537396550494,0.01136676800024361,0.7769607843137255,0.8439108061749572,0.21607094987933217,0.011279411999566946,0.7965686274509803,0.8590831918505942,0.21844827853451063,0.011534832499819458,43.08046127399939
11,cuda,2,2,2e-05,True,False,32,64,0.6985294117647058,0.8161434977578476,0.2181750105001215,0.011708641249697394,0.7745098039215687,0.8557993730407523,0.22147091810344638,0.011971860500125331,0.8308823529411765,0.8844221105527639,0.21866913344820205,0.012250977750227321,43.32703656999911
12,cuda,2,0,2e-05,False,False,32,64,0.696078431372549,0.812121212121212,0.5388889083448295,0.009091142999750446,0.7867647058823529,0.8552412645590682,0.5526197855689792,0.008913391499845602,0.8112745098039216,0.8692699490662139,0.5379776073794911,0.00885170149967962,104.66602093399888
13,cuda,2,1,2e-05,False,False,32,64,0.6838235294117647,0.8122270742358079,0.5419124034137738,0.009118859249610978,0.7745098039215687,0.8430034129692833,0.5427064435517768,0.009457480250148365,0.7916666666666666,0.8551959114139693,0.5440759926207428,0.01334307524984979,104.64647277199947
14,cuda,2,2,2e-05,False,False,32,64,0.6985294117647058,0.8161434977578476,0.5384612097241188,0.009063880500434607,0.7745098039215687,0.8557993730407523,0.5466309091896556,0.009068261250376963,0.8308823529411765,0.8844221105527639,0.5432676362584532,0.008976601250196836,104.49403922400052
15,tpu,8,0,0.00016,True,True,8,32,0.6838235294117647,0.8122270742358079,0.46829351258625607,0.09827217799920618,0.6838235294117647,0.8122270742358079,0.4819179512241731,0.05285029000060604,0.6838235294117647,0.8122270742358079,0.4767447277587868,0.06309458649957378,137.07011686700025
16,tpu,8,1,0.00016,True,True,8,32,0.7205882352941176,0.8256880733944955,0.45980769325863013,0.09662791800019477,0.8235294117647058,0.8831168831168831,0.47828948206912675,0.046208717500121566,0.8357843137254902,0.8850771869639793,0.481076238413748,0.07604140750027,131.22822740099946
17,tpu,8,2,0.00016,True,True,8,32,0.75,0.8425925925925926,0.4827295903447395,0.10711478699977306,0.8431372549019608,0.8933333333333334,0.4682022714139058,0.07460670149976067,0.8382352941176471,0.8873720136518771,0.5071242619138376,0.06667608399948222,160.27624603599907
18,tpu,8,0,2e-05,False,False,8,32,0.7230392156862745,0.8248062015503876,0.4754977175689419,0.12667455200016775,0.7843137254901961,0.8557377049180328,0.4851497170689699,0.05025297549991592,0.8112745098039216,0.8627450980392156,0.4814069292757926,0.09028942399982043,364.8056203169999
19,tpu,8,1,2e-05,False,False,8,32,0.6887254901960784,0.8145985401459854,0.46655446467245604,0.10218269950019021,0.7573529411764706,0.8352745424292847,0.4848193822414377,0.07339000699994358,0.7769607843137255,0.8525121555915721,0.48182933277586987,0.046462526000141224,142.41036344499935
20,tpu,8,2,2e-05,False,False,8,32,0.7156862745098039,0.8204334365325078,0.4674165650518136,0.1241200390004451,0.7720588235294118,0.8535433070866142,0.47910801386210705,0.0722614699998303,0.8112745098039216,0.8697123519458544,0.4869807961897001,0.06696849049967568,140.66298467700017
21,cuda,2,0,2e-05,True,False,16,32,0.7794117647058824,0.8566878980891721,0.15723607878272836,0.011477450714145172,0.8455882352941176,0.8900523560209423,0.15733928917386789,0.011230570714230583,0.8455882352941176,0.8880994671403197,0.15526845979128784,0.01128522785698546,59.306924285001514
22,cuda,2,1,2e-05,True,False,16,32,0.7156862745098039,0.7835820895522388,0.1552217142087339,0.011728832999714152,0.7965686274509803,0.8561525129982669,0.15704828300880289,0.01192087328542714,0.8112745098039216,0.8701517706576728,0.15513787279995322,0.011750393142522495,59.03606381700047
23,cuda,2,2,2e-05,True,False,16,32,0.7426470588235294,0.8396946564885496,0.15550827457398397,0.0117178579998186,0.8406862745098039,0.8892674616695059,0.15782748744345357,0.011427154999962243,0.8431372549019608,0.8900343642611684,0.1551292148000515,0.013227525857083882,59.144733563000045
24,cuda,1,0,2e-05,True,False,32,64,0.7083333333333334,0.8221225710014948,0.1793450888608514,0.01063076228560281,0.803921568627451,0.8484848484848484,0.180596318313094,0.010711120714924098,0.8406862745098039,0.8873483535528597,0.17743403110431719,0.011160141999685689,65.94746249700074
25,cuda,1,1,2e-05,True,False,32,64,0.7009803921568627,0.8184523809523809,0.1762406470521376,0.010766290142782964,0.8308823529411765,0.8828522920203735,0.17808230543492043,0.010316959571615112,0.8431372549019608,0.8926174496644296,0.17867474661734772,0.010571170857604426,65.3756004629995
26,cuda,1,2,2e-05,True,False,32,64,0.7352941176470589,0.8274760383386581,0.1766048011217208,0.010571670571412792,0.8259803921568627,0.883415435139573,0.17843997160008535,0.0106745675714462,0.8480392156862745,0.8938356164383561,0.1775838347044318,0.010532983856527218,65.32121247400028
27,tpu,8,0,2e-05,True,False,8,32,0.678921568627451,0.8087591240875913,0.4553145496207623,0.08479660350030827,0.6813725490196079,0.8104956268221574,0.46970729086207685,0.06998822500008828,0.6813725490196079,0.8104956268221574,0.4621345954655665,0.06453183000030549,255.0606642820003
28,tpu,8,1,2e-05,True,False,8,32,0.6813725490196079,0.8104956268221574,0.4499640943965209,0.11471666500028732,0.6838235294117647,0.8122270742358079,0.4627206115861115,0.08362526849941787,0.6838235294117647,0.8122270742358079,0.46694827958620816,0.05377111699999659,107.69863376099966
29,tpu,8,2,2e-05,True,False,8,32,0.6838235294117647,0.8122270742358079,0.4584957673620826,0.09491637949940923,0.6838235294117647,0.8122270742358079,0.46647510279308335,0.0641042360002757,0.6838235294117647,0.8122270742358079,0.4658396394311083,0.06021977500040521,127.96032525800001
30,tpu,8,0,2e-05,True,True,16,32,0.6838235294117647,0.8122270742358079,0.5155402107586018,0.11551163900094252,0.7058823529411765,0.8203592814371258,0.5146328113791995,0.07200174349964072,0.7303921568627451,0.8259493670886074,0.5279400495517245,0.08881123350056441,90.93359197300015
31,tpu,8,1,2e-05,True,True,16,32,0.6838235294117647,0.8122270742358079,0.5018459096207717,0.12321683699883579,0.696078431372549,0.8160237388724035,0.5068314063106488,0.077366049500597,0.7132352941176471,0.821917808219178,0.5334727601032149,0.04825890099891694,92.53668864199972
32,tpu,8,2,2e-05,True,True,16,32,0.6838235294117647,0.8122270742358079,0.52670489982747,0.08659269950021553,0.7058823529411765,0.8198198198198199,0.5230073644135449,0.052907543999936024,0.7328431372549019,0.8267090620031797,0.5200635485172573,0.08177920449998055,93.7398258029989
33,tpu,8,0,2e-05,True,False,16,32,0.3161764705882353,0.0,0.4996127420000166,0.12148726650002573,0.678921568627451,0.8087591240875913,0.5163837230344959,0.06593473600014477,0.678921568627451,0.8087591240875913,0.5080251053102608,0.08442133799962903,186.89301944399995
34,tpu,8,1,2e-05,True,False,16,32,0.3137254901960784,0.007092198581560284,0.49137329879321723,0.09511194050037375,0.678921568627451,0.8087591240875913,0.4961821361724513,0.05124590649984384,0.678921568627451,0.8087591240875913,0.5107584359310718,0.07355338599973038,78.8346317279993
35,tpu,8,2,2e-05,True,False,16,32,0.6838235294117647,0.8122270742358079,0.5001107020343938,0.1089701010000681,0.6838235294117647,0.8122270742358079,0.5088476293103354,0.08135474150003574,0.6838235294117647,0.8122270742358079,0.5201501493103055,0.060592197999540076,79.96531940400018
36,cuda,1,0,2e-05,False,False,32,64,0.7009803921568627,0.8195266272189349,0.4892015642347637,0.00890874785714654,0.8063725490196079,0.8489483747609943,0.4727279900782457,0.008475074856895455,0.8259803921568627,0.8756567425569177,0.4802757821912762,0.008220647714032176,180.23709830700045
37,cuda,1,1,2e-05,False,False,32,64,0.7034313725490197,0.8191330343796712,0.47982234874783425,0.008410590857108349,0.8235294117647058,0.8754325259515572,0.48202757915650696,0.008244674714530578,0.8480392156862745,0.8952702702702703,0.48184374908692207,0.008186690000002272,180.3414326459997
38,cuda,1,2,2e-05,False,False,32,64,0.7328431372549019,0.8256,0.4794675000000532,0.008214056999999489,0.821078431372549,0.88130081300813,0.4807948665303822,0.008323615714938828,0.8480392156862745,0.8934707903780068,0.4815688920608765,0.008338675857105824,180.0820639859994
39,tpu,8,0,2e-05,True,True,8,32,0.7230392156862745,0.8248062015503876,0.4698985692584756,0.07576278850046947,0.7843137254901961,0.8557377049180328,0.47672839589662985,0.07743494300029852,0.8112745098039216,0.8627450980392156,0.48530445113794546,0.07736341150030057,137.0124641300008
40,tpu,8,1,2e-05,True,True,8,32,0.6887254901960784,0.8145985401459854,0.4816896339826944,0.08439302900023904,0.7573529411764706,0.8352745424292847,0.49069182870692296,0.0571190584996657,0.7769607843137255,0.8525121555915721,0.4929064646035401,0.07115892349975184,138.83473034600138
41,tpu,8,2,2e-05,True,True,8,32,0.7156862745098039,0.8204334365325078,0.47865346305163003,0.1175516189996415,0.7720588235294118,0.8535433070866142,0.48112052198274763,0.075620403999892,0.8112745098039216,0.8697123519458544,0.476529578396492,0.034263802499481244,136.17642294399957
42,cuda,2,0,4e-05,False,False,32,64,0.7058823529411765,0.8181818181818181,0.5550095093276155,0.009002255750147015,0.8137254901960784,0.8785942492012779,0.5430619117588039,0.00900748725007361,0.8504901960784313,0.8942807625649914,0.536888146413699,0.008819462250357901,105.06599128499874
43,cuda,2,1,4e-05,False,False,32,64,0.6985294117647058,0.8166915052160953,0.5452418323447373,0.008970246499757195,0.7794117647058824,0.8398576512455516,0.5395908465862734,0.008891705750102119,0.8357843137254902,0.8838821490467937,0.5439642952586492,0.008866467749612639,104.6685918990006
44,cuda,2,2,4e-05,False,False,32,64,0.7058823529411765,0.8219584569732937,0.5385145425344208,0.008909859500363382,0.8382352941176471,0.8892617449664431,0.5457669740517931,0.00906162050068815,0.8529411764705882,0.8969072164948454,0.5450085858621668,0.012044060750213248,104.71927899899856
45,tpu,8,0,2e-05,False,False,16,32,0.6838235294117647,0.8122270742358079,0.5328791555861683,0.08962591099952988,0.7058823529411765,0.8203592814371258,0.5192016772758381,0.05962212750000617,0.7303921568627451,0.8259493670886074,0.5191508251723306,0.05461447500010763,83.09881239399965
46,tpu,8,1,2e-05,False,False,16,32,0.6838235294117647,0.8122270742358079,0.5314019598275802,0.10190512749977643,0.696078431372549,0.8160237388724035,0.5330357257930229,0.06978261150015896,0.7132352941176471,0.821917808219178,0.5279520059654621,0.06659432649939845,98.801126587
47,tpu,8,0,0.00016,False,False,8,32,0.6838235294117647,0.8122270742358079,0.47231375972406286,0.08296726399930776,0.6838235294117647,0.8122270742358079,0.47730821103464377,0.06398067600002832,0.6838235294117647,0.8122270742358079,0.47928546072398603,0.07857376350057166,139.4371406169994
48,tpu,8,1,0.00016,False,False,8,32,0.7205882352941176,0.8256880733944955,0.4632001101553497,0.10367125550055789,0.8235294117647058,0.8831168831168831,0.4832215919481753,0.0726889180004946,0.8357843137254902,0.8850771869639793,0.4773480670001563,0.03711801800000103,131.87881578199995
49,tpu,8,2,0.00016,False,False,8,32,0.75,0.8425925925925926,0.4771172298446643,0.06130724400009058,0.8431372549019608,0.8933333333333334,0.4833676353793698,0.08307550300014555,0.8382352941176471,0.8873720136518771,0.4837523136724611,0.042326565000621486,134.52607358299974
50,tpu,8,0,0.00016,True,False,8,32,0.803921568627451,0.8625429553264605,0.5323664572931412,0.10800787450079952,0.8455882352941176,0.891566265060241,0.4690393539310113,0.07418690449958376,0.8578431372549019,0.9026845637583893,0.48365227931038857,0.07904628300002514,135.25806010500128
51,tpu,8,2,0.00016,True,False,8,32,0.7622549019607843,0.8500772797527049,0.46935062996547866,0.0900642959995821,0.8333333333333334,0.8888888888888888,0.4662665654655813,0.05960644550032157,0.8627450980392157,0.9063545150501673,0.46586099477597853,0.03760230100033368,125.75932022299821
52,tpu,8,3,0.00016,True,False,8,32,0.7916666666666666,0.8608837970540099,0.4490798793103436,0.05905823000011878,0.8333333333333334,0.880701754385965,0.46751870462077055,0.0749909824999122,0.8431372549019608,0.8915254237288135,0.46318763136213387,0.055999480499849597,122.07508898099877
